Time of Scrape,Player Name,Team,Position,Game Start Date/Time,Opponent,Strikeout Predictions
2023-06-21 04:31:04,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:31:04,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:31:05,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:31:05,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:31:05,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:31:05,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:31:05,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:31:05,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:31:05,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:31:05,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 04:42:02,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:42:03,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:42:03,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:42:03,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:42:03,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:42:03,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:42:03,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:42:03,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:42:03,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:42:03,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
2023-06-21 04:42:03,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:42:03,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:42:03,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:42:03,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:42:03,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:42:03,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:42:03,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:42:03,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:42:04,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:42:04,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 04:46:52,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:46:52,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:46:52,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:46:52,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:46:52,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:46:52,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:46:52,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:46:52,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:46:52,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:46:52,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
2023-06-21 04:46:52,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:46:53,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:46:53,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:46:53,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:46:53,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:46:53,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:46:53,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:46:53,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:46:53,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:46:53,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 04:48:10,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:48:10,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:48:10,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:48:10,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:48:10,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:48:10,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:48:10,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:48:10,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:48:10,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:48:10,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
2023-06-21 04:48:10,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:48:10,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:48:10,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:48:10,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:48:10,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:48:10,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:48:10,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:48:11,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:48:11,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:48:11,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 04:50:13,Tyler Wells,BAL,P,"Jun 21 11:10 AM, 2023",TB,5.5
2023-06-21 04:50:13,Taj Bradley,TB,P,"Jun 21 11:10 AM, 2023",BAL,6.0
2023-06-21 04:50:13,Kevin Gausman,TOR,P,"Jun 21 11:10 AM, 2023",MIA,6.5
2023-06-21 04:50:13,Sandy Alcantara,MIA,P,"Jun 21 11:10 AM, 2023",TOR,5.5
2023-06-21 04:50:13,Kyle Hendricks,CHC,P,"Jun 21 11:35 AM, 2023",PIT,4.0
2023-06-21 04:50:13,Rich Hill,PIT,P,"Jun 21 11:35 AM, 2023",CHC,5.0
2023-06-21 04:50:13,Brady Singer,KC,P,"Jun 21 12:10 PM, 2023",DET,4.5
2023-06-21 04:50:13,Matthew Boyd,DET,P,"Jun 21 12:10 PM, 2023",KC,6.0
2023-06-21 04:50:13,Zac Gallen,ARI,P,"Jun 21 1:10 PM, 2023",MIL,6.5
2023-06-21 04:50:13,Julio Teheran,MIL,P,"Jun 21 1:10 PM, 2023",ARI,4.0
2023-06-21 04:50:13,Tylor Megill,NYM,P,"Jun 21 1:10 PM, 2023",HOU,4.0
2023-06-21 04:50:13,Cristian Javier,HOU,P,"Jun 21 1:10 PM, 2023",NYM,5.0
2023-06-21 04:50:13,AJ Smith-Shawver,ATL,P,"Jun 21 5:40 PM, 2023",PHI,5.0
2023-06-21 04:50:13,Aaron Nola,PHI,P,"Jun 21 5:40 PM, 2023",ATL,7.0
2023-06-21 04:50:14,Luis Castillo,SEA,P,"Jun 21 6:05 PM, 2023",NYY,7.0
2023-06-21 04:50:14,Jhony Brito,NYY,P,"Jun 21 6:05 PM, 2023",SEA,4.5
2023-06-21 04:50:14,Paul Blackburn,OAK,P,"Jun 21 6:10 PM, 2023",CLE,3.5
2023-06-21 04:50:14,Garrett Whitlock,BOS,P,"Jun 21 6:40 PM, 2023",MIN,5.5
2023-06-21 04:50:14,Sonny Gray,MIN,P,"Jun 21 6:40 PM, 2023",BOS,5.0
2023-06-21 04:50:14,Martín Pérez,TEX,P,"Jun 21 7:10 PM, 2023",CWS,4.0
2023-06-21 10:09:43,Tyler Wells,BAL,P,"Jun 21 4:10 PM, 2023",TB,5.5
2023-06-21 10:09:43,Taj Bradley,TB,P,"Jun 21 4:10 PM, 2023",BAL,6.0
2023-06-21 10:09:43,Kevin Gausman,TOR,P,"Jun 21 4:10 PM, 2023",MIA,6.5
2023-06-21 10:09:43,Sandy Alcantara,MIA,P,"Jun 21 4:10 PM, 2023",TOR,5.5
2023-06-21 10:09:43,Kyle Hendricks,CHC,P,"Jun 21 4:35 PM, 2023",PIT,4.0
2023-06-21 10:09:43,Rich Hill,PIT,P,"Jun 21 4:35 PM, 2023",CHC,5.0
2023-06-21 10:09:43,Brady Singer,KC,P,"Jun 21 5:10 PM, 2023",DET,4.5
2023-06-21 10:09:43,Matthew Boyd,DET,P,"Jun 21 5:10 PM, 2023",KC,6.0
2023-06-21 10:09:43,Zac Gallen,ARI,P,"Jun 21 6:10 PM, 2023",MIL,6.5
2023-06-21 10:09:44,Julio Teheran,MIL,P,"Jun 21 6:10 PM, 2023",ARI,4.0
2023-06-21 10:09:44,Tylor Megill,NYM,P,"Jun 21 6:10 PM, 2023",HOU,4.0
2023-06-21 10:09:44,Cristian Javier,HOU,P,"Jun 21 6:10 PM, 2023",NYM,5.0
2023-06-21 10:09:44,AJ Smith-Shawver,ATL,P,"Jun 21 10:40 PM, 2023",PHI,5.0
2023-06-21 10:09:44,Aaron Nola,PHI,P,"Jun 21 10:40 PM, 2023",ATL,7.0
2023-06-21 10:09:44,Luis Castillo,SEA,P,"Jun 21 11:05 PM, 2023",NYY,7.0
2023-06-21 10:09:44,Jhony Brito,NYY,P,"Jun 21 11:05 PM, 2023",SEA,4.5
2023-06-21 10:09:44,Paul Blackburn,OAK,P,"Jun 21 11:10 PM, 2023",CLE,3.5
2023-06-21 10:09:44,Garrett Whitlock,BOS,P,"Jun 21 11:40 PM, 2023",MIN,5.5
2023-06-21 10:09:44,Sonny Gray,MIN,P,"Jun 21 11:40 PM, 2023",BOS,5.0
2023-06-21 10:09:45,MartÃ­n PÃ©rez,TEX,P,"Jun 22 12:10 AM, 2023",CWS,4.0
2023-06-21 15:01:19,Tyler Wells,BAL,P,"Jun 21 4:10 PM, 2023",TB,5.0
2023-06-21 15:01:19,Taj Bradley,TB,P,"Jun 21 4:10 PM, 2023",BAL,6.0
2023-06-21 15:01:19,Kevin Gausman,TOR,P,"Jun 21 4:10 PM, 2023",MIA,6.5
2023-06-21 15:01:20,Sandy Alcantara,MIA,P,"Jun 21 4:10 PM, 2023",TOR,5.5
2023-06-21 15:01:20,Andrew Abbott,CIN,P,"Jun 21 4:35 PM, 2023",COL,6.5
2023-06-21 15:01:20,Kyle Hendricks,CHC,P,"Jun 21 4:35 PM, 2023",PIT,4.0
2023-06-21 15:01:20,Rich Hill,PIT,P,"Jun 21 4:35 PM, 2023",CHC,5.0
2023-06-21 15:01:20,Brady Singer,KC,P,"Jun 21 5:10 PM, 2023",DET,5.0
2023-06-21 15:01:20,Matthew Boyd,DET,P,"Jun 21 5:10 PM, 2023",KC,5.5
2023-06-21 15:01:20,Zac Gallen,ARI,P,"Jun 21 6:10 PM, 2023",MIL,6.5
2023-06-21 15:01:20,Julio Teheran,MIL,P,"Jun 21 6:10 PM, 2023",ARI,4.0
2023-06-21 15:01:20,Tylor Megill,NYM,P,"Jun 21 6:10 PM, 2023",HOU,4.0
2023-06-21 15:01:20,Cristian Javier,HOU,P,"Jun 21 6:10 PM, 2023",NYM,5.0
2023-06-21 15:01:21,AJ Smith-Shawver,ATL,P,"Jun 21 10:40 PM, 2023",PHI,4.5
2023-06-21 15:01:21,Aaron Nola,PHI,P,"Jun 21 10:40 PM, 2023",ATL,7.0
2023-06-21 15:01:21,Luis Castillo,SEA,P,"Jun 21 11:05 PM, 2023",NYY,7.0
2023-06-21 15:01:21,Jhony Brito,NYY,P,"Jun 21 11:05 PM, 2023",SEA,4.5
2023-06-21 15:01:21,Paul Blackburn,OAK,P,"Jun 21 11:10 PM, 2023",CLE,3.5
2023-06-21 15:01:21,Garrett Whitlock,BOS,P,"Jun 21 11:40 PM, 2023",MIN,5.5
2023-06-21 15:01:21,Sonny Gray,MIN,P,"Jun 21 11:40 PM, 2023",BOS,5.0
2023-06-21 15:01:21,MartÃ­n PÃ©rez,TEX,P,"Jun 22 12:10 AM, 2023",CWS,4.0
2023-06-21 15:01:21,Michael Kopech,CWS,P,"Jun 22 12:10 AM, 2023",TEX,6.0
2023-06-21 15:01:21,Shohei Ohtani,LAA,P,"Jun 22 1:38 AM, 2023",LAD,7.0
2023-06-21 15:01:22,Yu Darvish,SD,P,"Jun 22 1:45 AM, 2023",SF,6.0
2023-06-21 23:03:33,AJ Smith-Shawver,ATL,P,"Jun 22 12:15 AM, 2023",PHI,5.0
2023-06-21 23:03:33,Aaron Nola,PHI,P,"Jun 22 12:15 AM, 2023",ATL,7.0
