Time of Scrape,Player Name,Team,Position,Game Start Date,Opponent,Strikeout Predictions
2023-06-23 13:01:30,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 13:01:30,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 13:01:30,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 13:01:30,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.0
2023-06-23 13:01:30,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 13:01:31,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 13:01:31,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.0
2023-06-23 13:01:31,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 13:01:31,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.5
2023-06-23 13:01:31,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.5
2023-06-23 14:02:11,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,4.5
2023-06-23 14:02:11,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,4.0
2023-06-23 14:02:11,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 14:02:11,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 14:02:11,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,5.0
2023-06-23 14:02:11,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 14:02:12,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 14:02:12,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.5
2023-06-23 14:02:12,Kodai Senga,NYM,P,"Jun 23, 2023",PHI,6.0
2023-06-23 14:02:12,Taijuan Walker,PHI,P,"Jun 23, 2023",NYM,4.5
2023-06-23 14:02:12,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 14:02:12,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 14:02:12,Clarke Schmidt,NYY,P,"Jun 23, 2023",TEX,5.0
2023-06-23 14:02:13,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 14:02:13,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 14:02:13,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 14:02:13,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 14:02:13,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 14:02:13,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 14:02:13,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 14:02:13,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.0
2023-06-23 14:02:13,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 14:02:13,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 14:02:14,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.0
2023-06-23 14:02:14,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 14:02:14,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.5
2023-06-23 14:02:14,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.5
2023-06-23 15:02:55,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,5.0
2023-06-23 15:02:55,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,4.0
2023-06-23 15:02:55,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 15:02:55,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 15:02:55,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,5.0
2023-06-23 15:02:55,Joey Wentz,DET,P,"Jun 23, 2023",MIN,5.0
2023-06-23 15:02:56,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 15:02:56,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.5
2023-06-23 15:02:56,Kodai Senga,NYM,P,"Jun 23, 2023",PHI,6.0
2023-06-23 15:02:56,Taijuan Walker,PHI,P,"Jun 23, 2023",NYM,4.5
2023-06-23 15:02:56,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 15:02:56,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 15:02:56,Clarke Schmidt,NYY,P,"Jun 23, 2023",TEX,5.0
2023-06-23 15:02:56,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,4.0
2023-06-23 15:02:56,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 15:02:56,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 15:02:57,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 15:02:57,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 15:02:57,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 15:02:57,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 15:02:57,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.0
2023-06-23 15:02:57,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 15:02:57,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 15:02:57,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.0
2023-06-23 15:02:57,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 15:02:58,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.5
2023-06-23 15:02:58,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.5
2023-06-23 16:03:46,AJ Smith-Shawver,ATL,P,"Jun 23, 2023",CIN,5.0
2023-06-23 16:03:47,Luke Weaver,CIN,P,"Jun 23, 2023",ATL,4.0
2023-06-23 16:03:47,Zack Greinke,KC,P,"Jun 23, 2023",TB,3.5
2023-06-23 16:03:47,Zach Eflin,TB,P,"Jun 23, 2023",KC,6.0
2023-06-23 16:03:47,Kenta Maeda,MIN,P,"Jun 23, 2023",DET,5.0
2023-06-23 16:03:47,Joey Wentz,DET,P,"Jun 23, 2023",MIN,4.5
2023-06-23 16:03:47,Luis Ortiz,PIT,P,"Jun 23, 2023",MIA,4.0
2023-06-23 16:03:47,Jesús Luzardo,MIA,P,"Jun 23, 2023",PIT,6.5
2023-06-23 16:03:47,Kodai Senga,NYM,P,"Jun 23, 2023",PHI,6.0
2023-06-23 16:03:47,Taijuan Walker,PHI,P,"Jun 23, 2023",NYM,4.5
2023-06-23 16:03:48,Logan Gilbert,SEA,P,"Jun 23, 2023",BAL,4.5
2023-06-23 16:03:48,Kyle Gibson,BAL,P,"Jun 23, 2023",SEA,5.0
2023-06-23 16:03:48,Clarke Schmidt,NYY,P,"Jun 23, 2023",TEX,5.0
2023-06-23 16:03:48,Dane Dunning,TEX,P,"Jun 23, 2023",NYY,4.0
2023-06-23 16:03:48,James Kaprielian,OAK,P,"Jun 23, 2023",TOR,3.5
2023-06-23 16:03:48,Chris Bassitt,TOR,P,"Jun 23, 2023",OAK,5.5
2023-06-23 16:03:48,Wade Miley,MIL,P,"Jun 23, 2023",CLE,3.0
2023-06-23 16:03:48,Shane Bieber,CLE,P,"Jun 23, 2023",MIL,6.0
2023-06-23 16:03:48,Brayan Bello,BOS,P,"Jun 23, 2023",CWS,5.0
2023-06-23 16:03:48,Lucas Giolito,CWS,P,"Jun 23, 2023",BOS,5.5
2023-06-23 16:03:49,Patrick Sandoval,LAA,P,"Jun 23, 2023",COL,5.0
2023-06-23 16:03:49,Kyle Freeland,COL,P,"Jun 23, 2023",LAA,3.0
2023-06-23 16:03:49,Patrick Corbin,WSH,P,"Jun 23, 2023",SD,4.0
2023-06-23 16:03:49,Joe Musgrove,SD,P,"Jun 23, 2023",WSH,5.0
2023-06-23 16:03:49,J.P. France,HOU,P,"Jun 23, 2023",LAD,4.0
2023-06-23 16:03:49,Emmet Sheehan,LAD,P,"Jun 23, 2023",HOU,4.5
2023-06-23 16:03:49,Zach Davies,ARI,P,"Jun 23, 2023",SF,3.5
2023-06-23 16:03:49,Logan Webb,SF,P,"Jun 23, 2023",ARI,5.5
2023-06-23 23:06:02,Justin Steele,CHC,P,"Jun 24, 2023",STL,4.0
2023-06-23 23:06:02,Adam Wainwright,STL,P,"Jun 24, 2023",CHC,3.5
2023-06-24 00:00:35,Justin Steele,CHC,P,"Jun 24, 2023",STL,4.0
2023-06-24 00:00:35,Adam Wainwright,STL,P,"Jun 24, 2023",CHC,3.5
2023-06-24 02:07:34,Justin Steele,CHC,P,"Jun 24, 2023",STL,4.0
2023-06-24 02:07:34,Adam Wainwright,STL,P,"Jun 24, 2023",CHC,3.5
2023-06-24 02:07:35,Dean Kremer,BAL,P,"Jun 24, 2023",SEA,5.5
2023-06-24 02:07:35,Jon Gray,TEX,P,"Jun 24, 2023",NYY,5.5
2023-06-24 02:07:35,Luis Severino,NYY,P,"Jun 24, 2023",TEX,5.5
2023-06-24 02:07:35,José Berríos,TOR,P,"Jun 24, 2023",OAK,5.5
2023-06-24 02:07:35,James Paxton,BOS,P,"Jun 24, 2023",CWS,7.0
2023-06-24 02:07:35,Yonny Chirinos,TB,P,"Jun 24, 2023",KC,3.5
